Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Povegliano Veronese;2.142.900;Povegliano Veronese;2.575.157;405,03;67.99;337,04;432.257;1999;6.358
Pressana;775.970;Pressana;1.000.476;406,04;91.11;314,92;224.506;1999;2.464
Rivoli Veronese;371.800;Rivoli Veronese;573.800;290,83;102.38;188,44;202.000;1999;1.973
Ronca';939.000;Roncà;1.081.565;316,8;41.76;275,04;142.565;1999;3.414
Ronco all'Adige;2.228.310;Ronco all'Adige;2.395.690;427,57;29.87;397,7;167.380;1999;5.603
Roverchiara;942.190;Roverchiara;1.007.660;375,99;24.43;351,56;65.470;1999;2.680
Roveredo di Gua';343.000;Roveredo di Guà;389.000;282,09;33.36;248,73;46.000;1999;1.379
Rovere' Veronese;1.437.000;Roverè Veronese;1.492.800;707,15;26.43;680,72;55.800;1999;2.111
Salizzole;1.129.260;Salizzole;1.413.030;376,11;75.53;300,57;283.770;1999;3.757
San Bonifacio;7.017.040;San Bonifacio;8.214.230;485,91;70.82;415,09;1.197.190;1999;16.905
San Giovanni Ilarione;1.061.000;San Giovanni Ilarione;1.195.653;248,42;27.98;220,44;134.653;1999;4.813
San Giovanni Lupatoto;9.148.370;San Giovanni Lupatoto;10.120.750;478,27;45.95;432,32;972.380;1999;21.161
Sanguinetto;1.214.450;Sanguinetto;1.552.034;385,31;83.81;301,5;337.584;1999;4.028
San Martino Buon Albergo;1.809.210;San Martino Buon Albergo;4.163.945;317,91;179.78;138,13;2.354.735;1999;13.098
San Mauro di Saline;160.000;San Mauro di Saline;182.000;333,94;40.37;293,58;22.000;1999;545.000
San Pietro di Morubio;915.540;San Pietro di Morubio;1.118.539;392,06;71.15;320,9;202.999;1999;2.853
San Pietro in Cariano;3.302.040;San Pietro in Cariano;5.225.695;420,48;154.78;265,69;1.923.655;1999;12.428
Sant'Ambrogio di Valpolicella;2.380.000;Sant'Ambrogio di Valpolicella;3.906.520;417,18;163.02;254,16;1.526.520;1999;9.364
Sant'Anna d'Alfaedo;749.350;Sant'Anna d'Alfaedo;835.012;340,27;34.91;305,36;85.662;1999;2.454
San Zeno di Montagna;611.540;San Zeno di Montagna;726.640;593,18;93.96;499,22;115.100;1999;1.225
Selva di Progno;342.960;Selva di Progno;365.990;370,81;23.33;347,48;23.030;1999;987.000
Soave;2.339.830;Soave;2.688.200;414,72;53.74;360,97;348.370;1999;6.482
Sommacampagna;992.120;Sommacampagna;3.389.515;273,68;193.57;80,11;2.397.395;1999;12.385
Sona;1.299.490;Sona;3.722.610;265,07;172.54;92,53;2.423.120;1999;14.044
Sorga';1.121.000;Sorgà;1.245.540;413,53;41.35;372,18;124.540;1999;3.012
Terrazzo;629.070;Terrazzo;771.560;315,7;58.30;257,39;142.490;1999;2.444
Torri del Benaco;1.914.430;Torri del Benaco;2.186.248;797,32;99.13;698,19;271.818;1999;2.742
Tregnago;1.852.070;Tregnago;2.074.275;432,59;46.34;386,25;222.205;1999;4.795
Trevenzuolo;746.910;Trevenzuolo;797.784;334,08;21.30;312,78;50.874;1999;2.388
Valeggio sul Mincio;4.270.000;Valeggio sul Mincio;4.861.400;463,12;56.34;406,78;591.400;1999;10.497
Velo Veronese;258.580;Velo Veronese;267.580;329,53;11.08;318,45;9.000;1999;812.000
Verona;106.572.370;Verona;129.678.440;508,01;90.52;417,49;23.106.070;1999;255.268
Veronella;1.230.190;Veronella;1.374.750;381,77;40.14;341,62;144.560;1999;3.601
Vestenanova;771.270;Vestenanova;823.940;314,72;20.12;294,6;52.670;1999;2.618
Vigasio;1.300.210;Vigasio;2.197.580;333,07;136.01;197,06;897.370;1999;6.598
Villa Bartolomea;1.887.140;Villa Bartolomea;2.313.941;432,35;79.75;352,6;426.801;1999;5.352
Villafranca di Verona;12.516.800;Villafranca di Verona;14.788.224;510,13;78.35;431,78;2.271.424;1999;28.989
Zevio;4.687.430;Zevio;5.639.960;489,03;82.59;406,44;952.530;1999;11.533
Zimella;881.700;Zimella;1.247.318;289,54;84.87;204,67;365.618;1999;4.308
Agugliaro;81.790;Agugliaro;259.779;206,17;141.26;64,91;177.989;1999;1.260
Albettone;207.100;Albettone;407.487;205,39;101.00;104,39;200.387;1999;1.984
Alonte;98.990;Alonte;182.932;159,77;73.31;86,45;83.942;1999;1.145
Altavilla Vicentina;3.309.458;Altavilla Vicentina;3.850.498;414,61;58.26;356,35;541.040;1999;9.287
Altissimo;242.940;Altissimo;333.120;151,56;41.03;110,53;90.180;1999;2.198
Arcugnano;2.532.661;Arcugnano;2.789.395;403,44;37.13;366,31;256.734;1999;6.914
Arsiero;974.187;Arsiero;1.237.430;371,15;78.96;292,2;263.243;1999;3.334
Arzignano;3.331.090;Arzignano;8.129.260;356,03;210.14;145,89;4.798.170;1999;22.833
Asiago;4.143.140;Asiago;4.377.358;654,12;35.00;619,12;234.218;1999;6.692
Asigliano Veneto;203.430;Asigliano Veneto;219.946;263,41;19.78;243,63;16.516;1999;835.000
Barbarano Vicentino;390.240;Barbarano Vicentino;1.113.190;301,19;195.60;105,58;722.950;1999;3.696
Bassano del Grappa;16.200.057;Bassano del Grappa;21.857.113;546,8;141.52;405,27;5.657.056;1999;39.973
Bolzano Vicentino;454.440;Bolzano Vicentino;1.702.229;325,79;238.81;86,97;1.247.789;1999;5.225
Breganze;2.065.719;Breganze;3.320.747;430,99;162.88;268,1;1.255.028;1999;7.705
Brendola;2.336.953;Brendola;3.038.213;503,18;116.14;387,04;701.260;1999;6.038
Bressanvido;975.530;Bressanvido;1.123.519;407,07;53.62;353,45;147.989;1999;2.760
Brogliano;229.930;Brogliano;585.860;207,02;125.77;81,25;355.930;1999;2.830
Caldogno;3.361.724;Caldogno;3.871.587;387,97;51.09;336,88;509.863;1999;9.979
Caltrano;554.787;Caltrano;693.351;279,92;55.94;223,98;138.563;1999;2.477
Calvene;255.845;Calvene;343.141;272,98;69.45;203,54;87.296;1999;1.257
Camisano Vicentino;3.490.220;Camisano Vicentino;3.997.850;484,06;61.46;422,6;507.630;1999;8.259
Campiglia dei Berici;105.620;Campiglia dei Berici;289.383;164,8;104.65;60,15;183.763;1999;1.756
Campolongo sul Brenta;320.396;Campolongo sul Brenta;350.265;417,48;35.60;381,88;29.869;1999;839.000
Carre';877.743;Carrè;1.147.690;364,23;85.67;278,56;269.947;1999;3.151
Cartigliano;1.190.139;Cartigliano;1.414.993;404,05;64.21;339,85;224.854;1999;3.502
Cassola;3.063.852;Cassola;4.101.984;338;85.54;252,46;1.038.132;1999;12.136
Castegnero;736.060;Castegnero;816.280;349,43;34.34;315,09;80.220;1999;2.336
Castelgomberto;485.470;Castelgomberto;809.810;152,62;61.13;91,49;324.340;1999;5.306
Chiampo;1.119.950;Chiampo;3.240.534;269,01;176.04;92,97;2.120.584;1999;12.046
Chiuppano;615.470;Chiuppano;829.407;326,02;84.09;241,93;213.937;1999;2.544
Cismon del Grappa;407.083;Cismon del Grappa;452.090;424,1;42.22;381,88;45.007;1999;1.066
Cogollo del Cengio;829.997;Cogollo del Cengio;1.136.350;344,14;92.78;251,36;306.354;1999;3.302
Conco;968.790;Conco;1.025.463;449,76;24.86;424,91;56.673;1999;2.280
Cornedo Vicentino;1.087.880;Cornedo Vicentino;2.372.300;229,27;124.13;105,14;1.284.420;1999;10.347
Costabissara;1.774.410;Costabissara;2.162.680;384;68.94;315,06;388.270;1999;5.632
Creazzo;3.638.130;Creazzo;4.427.048;436,25;77.74;358,51;788.918;1999;10.148
Crespadoro;186.820;Crespadoro;332.486;229,62;100.60;129,02;145.666;1999;1.448
Dueville;4.255.346;Dueville;5.405.873;420,56;89.51;331,05;1.150.527;1999;12.854
Enego;863.810;Enego;921.253;449,83;28.05;421,78;57.443;1999;2.048
Fara Vicentino;1.021.036;Fara Vicentino;1.170.231;309,42;39.45;269,97;149.195;1999;3.782
Foza;244.300;Foza;264.843;343,95;26.68;317,27;20.543;1999;770.000
Gallio;1.528.780;Gallio;1.581.238;669,17;22.20;646,97;52.458;1999;2.363
Gambellara;184.630;Gambellara;560.870;177,15;118.84;58,32;376.240;1999;3.166
Gambugliano;143.600;Gambugliano;163.057;208,78;24.91;183,87;19.457;1999;781.000
Grancona;143.070;Grancona;320.779;185,85;102.96;82,89;177.709;1999;1.726
Grisignano di Zocco;1.837.730;Grisignano di Zocco;2.001.236;478,31;39.08;439,23;163.506;1999;4.184
Grumolo delle Abbadesse;350.000;Grumolo delle Abbadesse;818.700;248,77;142.42;106,35;468.700;1999;3.291
Isola Vicentina;1.949.000;Isola Vicentina;2.557.980;330,1;78.59;251,52;608.980;1999;7.749
Laghi;38.866;Laghi;51.214;387,99;93.54;294,44;12.348;1999;132.000
Lastebasse;61.563;Lastebasse;72.366;295,37;44.10;251,28;10.803;1999;245.000
Longare;1.507.552;Longare;1.756.552;336,57;47.71;288,86;249.000;1999;5.219
Lonigo;1.935.220;Lonigo;4.344.260;314,03;174.14;139,89;2.409.040;1999;13.834
Lugo di Vicenza;1.003.596;Lugo di Vicenza;1.298.590;352,59;80.10;272,49;294.994;1999;3.683
Lusiana;871.755;Lusiana;920.465;311,6;16.49;295,11;48.710;1999;2.954
Malo;3.182.332;Malo;4.495.569;370,43;108.21;262,22;1.313.237;1999;12.136
Marano Vicentino;2.427.346;Marano Vicentino;3.185.220;368,32;87.64;280,68;757.874;1999;8.648
Marostica;4.382.768;Marostica;5.371.542;421,63;77.61;344,02;988.775;1999;12.740
Mason Vicentino;385.515;Mason Vicentino;705.884;228,96;103.91;125,05;320.370;1999;3.083
Molvena;278.910;Molvena;541.480;225,15;109.18;115,97;262.569;1999;2.405
Montebello Vicentino;543.330;Montebello Vicentino;1.732.720;303,19;208.12;95,07;1.189.390;1999;5.715
Montecchio Maggiore;2.188.561;Montecchio Maggiore;6.522.259;315,15;209.40;105,75;4.333.698;1999;20.696
Montecchio Precalcino;637.540;Montecchio Precalcino;1.174.659;257,04;117.53;139,51;537.119;1999;4.570
Monte di Malo;684.380;Monte di Malo;903.649;335,93;81.51;254,42;219.269;1999;2.690
Montegalda;914.230;Montegalda;1.058.566;348,9;47.57;301,33;144.336;1999;3.034
Montegaldella;446.580;Montegaldella;493.401;290,24;27.54;262,69;46.821;1999;1.700
Monteviale;489.327;Monteviale;549.608;268,63;29.46;239,16;60.281;1999;2.046
Monticello Conte Otto;3.996.980;Monticello Conte Otto;4.633.770;531,64;73.06;458,58;636.790;1999;8.716
Montorso Vicentino;216.790;Montorso Vicentino;615.140;215,08;139.28;75,8;398.350;1999;2.860
Mossano;236.570;Mossano;359.034;213,84;72.94;140,9;122.464;1999;1.679
Mussolente;2.263.877;Mussolente;2.547.169;386,81;43.02;343,79;283.292;1999;6.585
Nanto;380.580;Nanto;516.756;229,36;60.44;168,92;136.176;1999;2.253
Nogarole Vicentino;76.560;Nogarole Vicentino;185.530;185,9;109.19;76,71;108.970;1999;998.000
Nove;1.232.167;Nove;1.503.370;310,29;55.98;254,32;271.203;1999;4.845
Noventa Vicentina;1.151.100;Noventa Vicentina;2.766.401;341,28;199.27;142,01;1.615.301;1999;8.106
Orgiano;640.840;Orgiano;928.869;300,51;93.18;207,32;288.029;1999;3.091
Pedemonte;193.833;Pedemonte;228.007;277,38;41.57;235,81;34.174;1999;822.000
Pianezze;243.282;Pianezze;499.681;276,53;141.89;134,63;256.399;1999;1.807
Piovene Rocchette;2.228.127;Piovene Rocchette;2.788.791;366,85;73.75;293,1;560.664;1999;7.602
Poiana Maggiore;1.177.000;Poiana Maggiore;1.365.589;322,45;44.53;277,92;188.589;1999;4.235
Posina;168.078;Posina;226.485;324,01;83.56;240,46;58.407;1999;699.000
Pove del Grappa;1.066.205;Pove del Grappa;1.215.401;435,32;53.44;381,88;149.196;1999;2.792
Pozzoleone;609.090;Pozzoleone;756.126;302,69;58.86;243,83;147.036;1999;2.498
Quinto Vicentino;1.507.460;Quinto Vicentino;1.830.062;402,12;70.89;331,24;322.602;1999;4.551
Recoaro Terme;1.271.180;Recoaro Terme;2.105.547;279,81;110.88;168,93;834.367;1999;7.525
Roana;2.171.552;Roana;2.313.926;613,45;37.74;575,7;142.374;1999;3.772
Romano d'Ezzelino;2.670.390;Romano d'Ezzelino;4.241.512;308,88;114.41;194,46;1.571.122;1999;13.732
Rosa';1.780.150;Rosà;3.861.910;311,02;167.65;143,36;2.081.760;1999;12.417
Rossano Veneto;1.098.350;Rossano Veneto;2.574.007;393,52;225.60;167,92;1.475.657;1999;6.541
Rotzo;197.328;Rotzo;224.634;391,35;47.57;343,78;27.306;1999;574.000
Salcedo;208.449;Salcedo;297.661;287,87;86.28;201,6;89.212;1999;1.034
Sandrigo;2.748.650;Sandrigo;3.196.938;408,76;57.32;351,44;448.288;1999;7.821
San Germano dei Berici;77.460;San Germano dei Berici;156.516;146,28;73.88;72,39;79.056;1999;1.070
San Nazario;693.492;San Nazario;776.992;427,86;45.98;381,88;83.500;1999;1.816
San Pietro Mussolino;129.410;San Pietro Mussolino;304.370;202,1;116.18;85,93;174.960;1999;1.506
Santorso;1.140.927;Santorso;1.524.410;293,27;73.78;219,49;383.483;1999;5.198
San Vito di Leguzzano;834.115;San Vito di Leguzzano;1.377.550;415,93;164.08;251,85;543.435;1999;3.312
Sarcedo;1.401.294;Sarcedo;1.741.740;345,93;67.62;278,31;340.446;1999;5.035
Sarego;684.450;Sarego;1.157.988;216;88.33;127,67;473.538;1999;5.361
Schiavon;615.680;Schiavon;836.751;357,59;94.47;263,11;221.071;1999;2.340
Schio;13.116.209;Schio;17.989.662;482,88;130.81;352,07;4.873.453;1999;37.255
Solagna;653.776;Solagna;706.673;412,78;30.90;381,88;52.897;1999;1.712
Sossano;1.170.330;Sossano;1.262.844;307,04;22.49;284,54;92.514;1999;4.113
Sovizzo;659.890;Sovizzo;1.524.507;271,36;153.90;117,46;864.617;1999;5.618
Tezze sul Brenta;1.436.500;Tezze sul Brenta;3.626.210;350,6;211.71;138,89;2.189.710;1999;10.343
Thiene;7.709.524;Thiene;9.874.054;473,51;103.80;369,71;2.164.530;1999;20.853
Tonezza del Cimone;459.360;Tonezza del Cimone;541.420;855,32;129.64;725,69;82.060;1999;633.000
Torrebelvicino;1.443.787;Torrebelvicino;1.788.595;329,39;63.50;265,89;344.808;1999;5.430
Torri di Quartesolo;2.253.490;Torri di Quartesolo;5.323.840;504,39;290.89;213,5;3.070.350;1999;10.555
Trissino;762.000;Trissino;2.196.420;283,08;184.87;98,21;1.434.420;1999;7.759
Valdagno;2.558.440;Valdagno;8.153.764;301,27;206.74;94,53;5.595.324;1999;27.065
Valdastico;452.394;Valdastico;512.678;341,79;40.19;301,6;60.284;1999;1.500
Valli del Pasubio;809.655;Valli del Pasubio;929.190;259,55;33.39;226,16;119.535;1999;3.580
Valstagna;720.116;Valstagna;804.538;427,49;44.86;382,63;84.422;1999;1.882
Velo d'Astico;529.453;Velo d'Astico;743.093;324,21;93.21;231;213.641;1999;2.292
Vicenza;52.019.300;Vicenza;62.521.682;569,74;95.70;474,03;10.502.382;1999;109.738
Villaga;562.730;Villaga;606.768;324,82;23.57;301,25;44.038;1999;1.868
Villaverla;1.501.570;Villaverla;1.877.960;361,15;72.38;288,76;376.390;1999;5.200
Zane';1.935.642;Zanè;2.200.750;376,13;45.31;330,82;265.108;1999;5.851
Zermeghedo;186.470;Zermeghedo;422.710;352,55;197.03;155,52;236.240;1999;1.199
Zovencedo;72.720;Zovencedo;150.501;175,2;90.55;84,66;77.781;1999;859.000
Zugliano;1.452.883;Zugliano;2.024.140;332,21;93.76;238,45;571.257;1999;6.093
Agordo;1.485.260;Agordo;1.871.900;436,54;90.17;346,38;386.640;1999;4.288
Alano di Piave;660.026;Alano di Piave;835.555;308,21;64.75;243,46;175.529;1999;2.711
Alleghe;667.070;Alleghe;825.800;571,09;109.77;461,32;158.730;1999;1.446
Arsie';793.548;Arsiè;994.809;353,27;71.47;281,8;201.261;1999;2.816
Auronzo di Cadore;2.174.674;Auronzo di Cadore;2.455.045;656,6;74.99;581,62;280.371;1999;3.739
Belluno;13.706.460;Belluno;15.842.415;451,65;60.89;390,75;2.135.955;1999;35.077
Borca di Cadore;492.590;Borca di Cadore;581.601;739,01;113.10;625,91;89.011;1999;787.000
Calalzo di Cadore;910.328;Calalzo di Cadore;1.083.798;430,59;68.92;361,67;173.470;1999;2.517
Castellavazzo;461.000;Castellavazzo;563.880;313,27;57.16;256,11;102.880;1999;1.800
Cencenighe Agordino;511.940;Cencenighe Agordino;639.050;426,03;84.74;341,29;127.110;1999;1.500
Cesiomaggiore;885.690;Cesiomaggiore;1.165.928;289,31;69.54;219,77;280.238;1999;4.030
Chies d'Alpago;407.832;Chies d'Alpago;495.175;318,03;56.10;261,93;87.343;1999;1.557
Cibiana di Cadore;182.620;Cibiana di Cadore;200.150;358,05;31.36;326,69;17.530;1999;559.000
Colle Santa Lucia;159.360;Colle Santa Lucia;199.210;467,63;93.54;374,08;39.850;1999;426.000
Comelico Superiore;818.740;Comelico Superiore;1.048.681;403,8;88.54;315,26;229.941;1999;2.597
Cortina d'Ampezzo;6.522.800;Cortina d'Ampezzo;7.515.006;1.162,05;153.43;1.008,63;992.206;1999;6.467
Danta di Cadore;158.260;Danta di Cadore;223.442;406,26;118.51;287,75;65.182;1999;550.000
Domegge di Cadore;910.841;Domegge di Cadore;1.052.933;390,26;52.67;337,6;142.092;1999;2.698
Falcade;1.187.950;Falcade;1.455.490;649,48;119.38;530,1;267.540;1999;2.241
Farra d'Alpago;662.467;Farra d'Alpago;810.052;305,8;55.71;250,08;147.585;1999;2.649
Feltre;6.414.910;Feltre;7.612.336;392,31;61.71;330,6;1.197.426;1999;19.404
Fonzaso;965.490;Fonzaso;1.209.941;352,03;71.12;280,91;244.451;1999;3.437
Canale d'Agordo;510.180;Canale d'Agordo;631.990;490,68;94.57;396,1;121.810;1999;1.288
Forno di Zoldo;890.000;Forno di Zoldo;1.025.942;351,23;46.54;304,69;135.942;1999;2.921
Gosaldo;322.380;Gosaldo;396.440;436,61;81.56;355,04;74.060;1999;908.000
Lamon;754.984;Lamon;979.411;275,04;63.02;212,01;224.427;1999;3.561
La Valle Agordina;417.550;La Valle Agordina;515.990;427,14;81.49;345,65;98.440;1999;1.208
Lentiai;932.710;Lentiai;1.231.680;423,4;102.77;320,63;298.970;1999;2.909
Limana;1.208.340;Limana;1.517.613;345,23;70.35;274,87;309.273;1999;4.396
Livinallongo del Col di Lana;703.440;Livinallongo del Col di Lana;883.180;625,04;127.20;497,83;179.740;1999;1.413
Longarone;2.604.000;Longarone;2.858.255;690,73;61.44;629,29;254.255;1999;4.138
Lorenzago di Cadore;233.772;Lorenzago di Cadore;291.369;467,69;92.45;375,24;57.597;1999;623.000
Lozzo di Cadore;569.802;Lozzo di Cadore;697.222;430,92;78.75;352,16;127.420;1999;1.618
Mel;1.475.570;Mel;1.863.154;294,2;61.20;233;387.584;1999;6.333
Ospitale di Cadore;123.000;Ospitale di Cadore;151.589;387,7;73.12;314,58;28.589;1999;391.000
Pedavena;1.129.570;Pedavena;1.438.969;333,4;71.69;261,72;309.399;1999;4.316
Perarolo di Cadore;127.000;Perarolo di Cadore;150.378;389,58;60.56;329,02;23.378;1999;386.000
Pieve d'Alpago;657.708;Pieve d'Alpago;777.118;385,86;59.29;326,57;119.410;1999;2.014
Pieve di Cadore;1.645.191;Pieve di Cadore;1.956.613;493,97;78.62;415,35;311.422;1999;3.961
Ponte nelle Alpi;2.902.200;Ponte nelle Alpi;3.518.615;444,94;77.95;367;616.415;1999;7.908
Puos d'Alpago;591.070;Puos d'Alpago;712.754;310,16;52.95;257,21;121.684;1999;2.298
Quero;565.490;Quero;708.476;320,58;64.70;255,88;142.986;1999;2.210
Rivamonte Agordino;234.180;Rivamonte Agordino;286.550;413,49;75.57;337,92;52.370;1999;693.000
Rocca Pietore;737.340;Rocca Pietore;897.790;604,57;108.05;496,53;160.450;1999;1.485
San Gregorio nelle Alpi;256.620;San Gregorio nelle Alpi;355.083;231,17;64.10;167,07;98.463;1999;1.536
San Nicolo' di Comelico;131.700;San Nicolò di Comelico;205.044;489,37;175.05;314,32;73.344;1999;419.000
San Pietro di Cadore;546.160;San Pietro di Cadore;674.082;355,53;67.47;288,06;127.922;1999;1.896
Santa Giustina;1.621.000;Santa Giustina;2.249.453;352,47;98.47;254;628.453;1999;6.382
San Tomaso Agordino;285.040;San Tomaso Agordino;343.660;410,1;69.95;340,14;58.620;1999;838.000
Santo Stefano di Cadore;965.030;Santo Stefano di Cadore;1.270.940;437,2;105.23;331,97;305.910;1999;2.907
San Vito di Cadore;965.230;San Vito di Cadore;1.267.518;732,67;174.73;557,94;302.288;1999;1.730
Sappada;838.950;Sappada;986.750;699,33;104.75;594,58;147.800;1999;1.411
Sedico;3.407.358;Sedico;4.026.473;465,43;71.57;393,87;619.115;1999;8.651
Selva di Cadore;299.840;Selva di Cadore;374.940;655,49;131.29;524,2;75.100;1999;572.000
Seren del Grappa;564.130;Seren del Grappa;736.522;286,47;67.05;219,42;172.392;1999;2.571
Sospirolo;669.540;Sospirolo;947.885;287,41;84.40;203,01;278.345;1999;3.298
Soverzene;171.000;Soverzene;201.086;481,07;71.98;409,09;30.086;1999;418.000
Sovramonte;355.070;Sovramonte;480.455;278,69;72.73;205,96;125.385;1999;1.724
Taibon Agordino;587.130;Taibon Agordino;674.220;384,17;49.62;334,55;87.090;1999;1.755
Tambre;655.620;Tambre;801.236;508,4;92.40;416;145.616;1999;1.576
Trichiana;1.195.880;Trichiana;1.635.067;368,01;98.85;269,16;439.187;1999;4.443
Vallada Agordina;204.850;Vallada Agordina;248.630;444,78;78.32;366,46;43.780;1999;559.000
Valle di Cadore;823.010;Valle di Cadore;973.233;457,35;70.59;386,75;150.223;1999;2.128
Vas;175.820;Vas;238.063;284,76;74.45;210,31;62.243;1999;836.000
Vigo di Cadore;579.461;Vigo di Cadore;717.394;427,02;82.10;344,92;137.933;1999;1.680
Vodo Cadore;321.230;Vodo Cadore;413.527;439,45;98.08;341,37;92.297;1999;941.000
Voltago Agordino;352.700;Voltago Agordino;442.100;448,38;90.67;357,71;89.400;1999;986.000
Zoldo Alto;706.000;Zoldo Alto;790.885;651,47;69.92;581,55;84.885;1999;1.214
Zoppe' di Cadore;58.000;Zoppè di Cadore;71.200;234,98;43.56;191,42;13.200;1999;303.000
Altivole;1.188.440;Altivole;2.165.718;359,16;162.07;197,09;977.278;1999;6.030
Arcade;692.040;Arcade;923.732;275,58;69.12;206,46;231.692;1999;3.352
Asolo;1.947.010;Asolo;3.124.222;417,06;157.15;259,91;1.177.212;1999;7.491
Borso del Grappa;1.037.360;Borso del Grappa;1.687.842;359,12;138.40;220,71;650.482;1999;4.700
Breda di Piave;1.504.530;Breda di Piave;1.938.377;315,13;70.53;244,6;433.847;1999;6.151
Caerano di San Marco;1.757.660;Caerano di San Marco;3.185.730;453,03;203.08;249,95;1.428.070;1999;7.032
Cappella Maggiore;674.950;Cappella Maggiore;1.115.440;254,84;100.64;154,2;440.490;1999;4.377
Carbonera;2.618.870;Carbonera;3.381.394;353,3;79.67;273,63;762.524;1999;9.571
Casale sul Sile;3.560.540;Casale sul Sile;3.897.380;446,74;38.61;408,13;336.840;1999;8.724
Casier;1.666.093;Casier;2.746.260;338,5;133.14;205,36;1.080.167;1999;8.113
Castelcucco;410.640;Castelcucco;778.837;424,2;200.54;223,66;368.197;1999;1.836
Castelfranco Veneto;9.367.050;Castelfranco Veneto;16.500.477;529,51;228.91;300,59;7.133.427;1999;31.162
Castello di Godego;1.130.780;Castello di Godego;1.916.034;303,07;124.21;178,86;785.254;1999;6.322
Cavaso del Tomba;535.360;Cavaso del Tomba;980.004;382,22;173.42;208,8;444.644;1999;2.564
Cessalto;517.260;Cessalto;918.920;295,47;129.15;166,32;401.660;1999;3.110
Chiarano;473.520;Chiarano;872.590;286,66;131.10;155,56;399.070;1999;3.044
Cimadolmo;417.290;Cimadolmo;686.707;210,71;82.67;128,04;269.417;1999;3.259
Cison di Valmarino;252.660;Cison di Valmarino;708.484;281,37;181.03;100,34;455.824;1999;2.518
Codogne';605.670;Codognè;1.235.670;249,28;127.09;122,18;630.000;1999;4.957
Colle Umberto;568.140;Colle Umberto;997.431;225,36;96.99;128,36;429.291;1999;4.426
Conegliano;8.313.870;Conegliano;14.997.733;426,17;189.93;236,24;6.683.863;1999;35.192
Cordignano;925.350;Cordignano;1.503.167;245,42;94.34;151,08;577.817;1999;6.125
Cornuda;1.413.900;Cornuda;2.468.084;437,45;186.85;250,6;1.054.184;1999;5.642
Crespano del Grappa;1.021.740;Crespano del Grappa;1.741.745;405,91;167.79;238,11;720.005;1999;4.291
Crocetta del Montello;1.085.980;Crocetta del Montello;1.853.969;323,1;133.84;189,26;767.989;1999;5.738
Farra di Soligo;912.070;Farra di Soligo;1.506.640;193,76;76.46;117,29;594.570;1999;7.776
Follina;409.020;Follina;927.766;256,93;143.66;113,27;518.746;1999;3.611
Fontanelle;783.190;Fontanelle;1.455.030;271,66;125.44;146,23;671.840;1999;5.356
Fonte;1.340.080;Fonte;2.184.308;409,97;158.45;251,52;844.228;1999;5.328
Fregona;435.030;Fregona;699.550;242,81;91.82;151;264.520;1999;2.881
Gaiarine;649.680;Gaiarine;1.133.993;182,14;77.79;104,35;484.313;1999;6.226
Giavera del Montello;1.306.810;Giavera del Montello;1.618.210;381,56;73.43;308,14;311.400;1999;4.241
Godega di Sant'Urbano;658.480;Godega di Sant'Urbano;1.346.029;224,34;114.59;109,75;687.549;1999;6.000
Gorgo al Monticano;720.360;Gorgo al Monticano;1.093.540;276,22;94.26;181,96;373.180;1999;3.959
Istrana;1.104.100;Istrana;2.429.713;315,26;172.00;143,26;1.325.613;1999;7.707
Loria;1.574.880;Loria;2.431.007;320;112.69;207,3;856.127;1999;7.597
Mansue';745.080;Mansuè;1.072.270;261,15;79.69;181,46;327.190;1999;4.106
Mareno di Piave;720.260;Mareno di Piave;1.503.450;194,45;101.29;93,15;783.190;1999;7.732
Maser;831.180;Maser;1.659.165;343,16;171.25;171,91;827.985;1999;4.835
Maserada sul Piave;1.534.890;Maserada sul Piave;2.083.316;297,4;78.29;219,11;548.426;1999;7.005
Meduna di Livenza;373.600;Meduna di Livenza;661.160;251,97;109.59;142,38;287.560;1999;2.624
Miane;472.650;Miane;847.733;251,4;111.23;140,17;375.083;1999;3.372
Mogliano Veneto;5.717.148;Mogliano Veneto;10.741.970;405,3;189.59;215,71;5.024.822;1999;26.504
Monastier di Treviso;1.125.060;Monastier di Treviso;1.512.035;431,39;110.41;320,99;386.975;1999;3.505
Monfumo;199.780;Monfumo;354.785;244,17;106.68;137,49;155.005;1999;1.453
Montebelluna;7.325.920;Montebelluna;13.291.227;493,14;221.33;271,81;5.965.307;1999;26.952
Morgano;464.820;Morgano;991.333;269,53;143.15;126,38;526.513;1999;3.678
Moriago della Battaglia;318.270;Moriago della Battaglia;584.564;223,03;101.60;121,43;266.294;1999;2.621
Motta di Livenza;2.068.700;Motta di Livenza;3.611.170;378,69;161.75;216,94;1.542.470;1999;9.536
Nervesa della Battaglia;1.892.710;Nervesa della Battaglia;2.109.931;317,95;32.73;285,22;217.221;1999;6.636
Oderzo;5.052.490;Oderzo;8.197.658;483,15;185.37;297,78;3.145.168;1999;16.967
Ormelle;637.120;Ormelle;1.053.100;267,22;105.55;161,66;415.980;1999;3.941
Orsago;456.010;Orsago;1.028.100;288,95;160.79;128,16;572.090;1999;3.558
Paderno del Grappa;428.380;Paderno del Grappa;759.653;393,6;171.64;221,96;331.273;1999;1.930
