Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Trebaseleghe;2.010.600;Trebaseleghe;3.110.456;299,6;105.94;193,66;1.099.856;1997;10.382
Tribano;1.286.000;Tribano;1.389.700;354,42;26.45;327,98;103.700;1997;3.921
Urbana;609.370;Urbana;632.178;280,59;10.12;270,47;22.808;1997;2.253
Veggiano;823.000;Veggiano;886.400;337,42;24.13;313,29;63.400;1997;2.627
Vescovana;430.650;Vescovana;458.233;284,26;17.11;267,15;27.583;1997;1.612
Vighizzolo d'Este;268.000;Vighizzolo d'Este;286.000;289,18;18.20;270,98;18.000;1997;989.000
Vigodarzere;1.569.040;Vigodarzere;3.246.040;295,85;152.84;143;1.677.000;1997;10.972
Vigonza;4.366.120;Vigonza;6.750.801;358,76;126.73;232,03;2.384.681;1997;18.817
Villa del Conte;544.560;Villa del Conte;1.028.434;205,24;96.56;108,67;483.874;1997;5.011
Villa Estense;831.610;Villa Estense;843.810;355,44;5.14;350,3;12.200;1997;2.374
Villafranca Padovana;2.502.000;Villafranca Padovana;2.660.100;351,73;20.90;330,82;158.100;1997;7.563
Villanova di Camposampiero;445.280;Villanova di Camposampiero;924.259;197,2;102.19;95;478.979;1997;4.687
Vo;1.289.456;Vo;1.372.670;396,5;24.04;372,46;83.214;1997;3.462
Due Carrare;2.873.360;Due Carrare;3.113.140;410,7;31.63;379,07;239.780;1997;7.580
Adria;9.117.630;Adria;9.549.607;458,76;20.75;438,01;431.977;1997;20.816
Ariano nel Polesine;1.841.560;Ariano nel Polesine;1.920.027;380,5;15.55;364,95;78.467;1997;5.046
Arqua' Polesine;1.050.000;Arquà Polesine;1.080.212;369,05;10.32;358,73;30.212;1997;2.927
